CODE_PRODUIT_STOCKAGE,CODE_SITE_ORIGINE,CODE_SITE_DESTINATION,CODE_CELLULE,CAPACITE,COUT_UNITAORE,QTE_PREV_EQ_BLE,QTE_PREV,COUT_TOTAL
CO0435,D664,D151,C01,6000.0,0.0,11.09,12.75,0
TOTAL,,,,,,,,0
