CODE_SITE;CODE_CELLULE;TYPE_CELLULE;VENTILATION;CAPACITE
D011;M303;;;120
D011;M304;;;120
D011;M305;;;120
D011;M701;;;200
D015;M000;;;0
D015;M101;;;200
D015;M102;;;200
D015;M103;;;200
D015;M104;;;200
D015;M801;;;1000
D016;M000;;;0
D016;M101;;;200
D016;M102;;;200
D016;M103;;;200
D016;M104;;;200
D016;M301;;;90
D016;M302;;;90
D016;M303;;;90
D016;M304;;;90
D016;M305;;;90
D016;M306;;;90
D018;M000;;;0
D018;M301;;;60
D018;M302;;;60
D018;M303;;;60
D018;M304;;;60
D018;M701;;;500
D022;M000;;OUI;0
D022;M001;Palplanche;OUI;160
D022;M002;Palplanche;OUI;350
D022;M003;Palplanche;OUI;350
D022;M004;Palplanche;OUI;350
D022;M005;Palplanche;OUI;700
D022;M006;Palplanche;OUI;700
D022;M007;Palplanche;OUI;700
D022;M008;Palplanche;OUI;700
D022;M011;Palplanche;OUI;600
D022;M012;Palplanche;OUI;600
D022;M013;Palplanche;OUI;900
D022;M014;Palplanche;OUI;900
D022;M015;Palplanche;OUI;1800
D022;M016;Palplanche;OUI;1800
D022;M017;Palplanche;OUI;1800
D022;M018;Palplanche;OUI;900
D022;M019;Palplanche;OUI;900
D022;M021;Béton;OUI;700
D022;M022;Béton;OUI;700
D022;M023;Béton;OUI;700
D022;M024;Béton;OUI;700
D022;M026;Béton;OUI;800
D022;M027;Béton;OUI;800
D022;M029;Béton;OUI;800
D022;M030;Béton;OUI;800
D022;M032;Béton;OUI;800
D022;M033;Béton;OUI;800
D022;M035;Béton;OUI;800
D022;M036;Béton;OUI;800
D022;M037;Béton;OUI;800
D022;M038;Béton;OUI;800
D022;M040;Béton;OUI;800
D022;M041;Béton;OUI;800
D022;M043;Béton;OUI;800
D022;M044;Béton;OUI;800
D022;M101;;OUI;70
D022;M102;;OUI;70
D022;M103;;OUI;70
D022;M104;;OUI;70
D022;M105;;OUI;70
D022;M106;;OUI;70
D022;M107;;OUI;70
D022;M108;;OUI;70
D022;M109;;OUI;180
D022;M110;;OUI;180
D022;M111;;OUI;180
D022;M112;;OUI;180
D022;M113;;OUI;240
D022;M114;;OUI;240
D022;M115;;OUI;90
D022;M116;;OUI;90
D022;M117;;OUI;90
D022;M118;;OUI;90
D022;M119;;OUI;80
D022;M120;;OUI;80
D022;M800;;;0
D026;M001;;OUI;1000
D026;M002;;OUI;1000
D026;M004;;OUI;1200
D026;M005;;OUI;1200
D026;M006;;OUI;1200
D026;M007;;OUI;1200
D026;M008;;OUI;1200
D026;M009;;OUI;1200
D026;M010;;OUI;1200
D026;M011;;OUI;1200
D026;M012;;OUI;1200
D026;M013;;OUI;1200
D026;M014;;OUI;1200
D026;M015;;OUI;1200
D026;M016;;OUI;1200
D026;M017;;OUI;4000
D026;M018;;OUI;4000
D026;C19;Cellule_Beton_Fond_conique;;4000
D026;C20;Cellule_Beton_Fond_conique;;4000
D026;M101;Béton;OUI;130
D026;M102;Béton;OUI;130
D026;M103;Béton;OUI;80
D026;M104;Béton;OUI;25
D026;M105;Béton;;25
D026;M106;Béton;;45
D026;M107;Béton;;45
D026;M108;Béton;;130
D026;M109;Béton;;130
D026;M110;Béton;;130
D026;M201;Béton;;120
D026;M202;Béton;;100
D026;M205;Béton;OUI;280
D026;M206;Béton;OUI;280
D026;M207;Béton;OUI;280
D026;M208;Béton;OUI;280
D026;M301;;;150
D026;M302;;;150
D026;M303;;;150
D026;M304;;;150
D026;M305;;;150
D026;M306;;;150
D026;M307;;;150
D026;M308;;;150
D026;M309;;;150
D044;M000;;;0
D044;M301;;;0
D044;M302;;;0
D044;M303;;;60
D044;M304;;;80
D044;M305;;;150
D044;M306;;;0
D044;M307;;;0
D044;M308;;;0
D044;M309;;;0
D044;M701;;;1500
D044;M801;;;500
D052;M000;;;0
D052;M001;Palplanche;OUI;75
D052;M002;Palplanche;OUI;75
D052;M003;Palplanche;OUI;150
D052;M004;Palplanche;OUI;150
D052;M005;Palplanche;OUI;300
D052;M006;Palplanche;OUI;300
D052;M007;Palplanche;OUI;300
D052;M008;Palplanche;OUI;300
D052;M009;Palplanche;OUI;300
D052;M010;Palplanche;OUI;300
D052;M011;Palplanche;OUI;150
D052;M012;Palplanche;OUI;150
D052;M013;Palplanche;OUI;75
D052;M014;Palplanche;OUI;75
D052;M101;;;30
D052;M701;;;300
D054;M000;;;0
D054;M001;;OUI;250
D054;M002;;OUI;250
D054;M003;;OUI;250
D054;M004;;OUI;250
D054;M005;;OUI;250
D054;M006;;OUI;250
D054;M007;;OUI;150
D054;M101;;;50
D054;M301;;;300
D054;M801;;;800
D056;M000;;;0
D056;M001;Palplanche;OUI;300
D056;M002;Palplanche;OUI;200
D056;M003;Palplanche;OUI;1000
D056;M004;Palplanche;OUI;1000
D056;M005;Palplanche;OUI;1000
D056;M006;Palplanche;OUI;1000
D056;M007;Palplanche;OUI;1000
D056;M008;Palplanche;OUI;1000
D056;M101;;;55
D056;M301;Béton;OUI;60
D056;M302;Béton;OUI;60
D056;M303;Béton;OUI;60
D056;M304;Béton;OUI;60
D056;M305;Béton;OUI;60
D062;M000;;;0
D062;M001;Béton;;400
D062;M002;Béton;OUI;1400
D062;M003;Béton;OUI;400
D062;M004;Béton;OUI;1600
D062;M005;Béton;OUI;1600
D062;M006;Béton;OUI;1600
D062;M007;Béton;OUI;1600
D062;M008;Béton;OUI;1600
D062;M009;Béton;OUI;1600
D062;M010;Béton;OUI;4000
D062;M011;;OUI;4000
D062;M012;;OUI;4000
D062;M101;;;400
D062;M201;;;70
D062;M202;;;70
D062;M203;;;90
D062;M204;;;90
D062;M205;;;400
D062;M206;;;400
D503;M000;;;0
D503;M001;;;270
D503;M002;;;460
D503;M003;;OUI;270
D503;M004;;;460
D503;M005;;OUI;1150
D503;M006;;OUI;1150
D503;M007;;OUI;1280
D503;M008;;OUI;1280
D503;M009;;OUI;1280
D503;M010;;OUI;1280
D503;M102;;;140
D503;M103;;;200
D503;M105;;;320
D503;M106;;;320
D503;M301;;;200
D503;M302;;;200
D503;M303;;;200
D503;M304;;;200
D503;M305;;;200
D503;M306;;;200
D503;M401;Béton;;6000
D503;M402;Béton;;6000
D503;M403;Béton;;6000
D503;M404;Béton;;6000
D503;M405;Béton;;6000
D503;M406;Béton;;6000
D508;M000;;;0
D508;M001;;OUI;180
D508;M002;;OUI;180
D508;M003;;OUI;180
D508;M004;;OUI;180
D508;M005;;OUI;180
D508;M006;;OUI;180
D508;M007;Palplanche;OUI;700
D508;M008;Palplanche;OUI;700
D508;M009;Palplanche;OUI;700
D508;M010;;OUI;1300
D508;M011;Béton;OUI;4400
D508;M012;Béton;OUI;2200
D508;M031;Palplanche;OUI;300
D508;M032;Palplanche;OUI;300
D508;M033;Palplanche;OUI;300
D508;M034;Palplanche;OUI;300
D508;M035;Palplanche;OUI;300
D508;M036;Palplanche;OUI;300
D508;M037;;OUI;1500
D508;M038;;OUI;1500
D508;M041;;OUI;5000
D508;M042;;OUI;5000
D508;M043;;OUI;5000
D508;M044;;OUI;3500
D508;M101;;;25
D508;M102;;;30
D508;M103;;;30
D508;M104;;;30
D508;M105;;;30
D508;M106;;;50
D508;M107;;;100
D508;M301;;;100
D508;M302;;;100
D508;M303;;;100
D508;M304;;;100
D508;M305;;;100
D508;M306;;;100
D508;M701;;;500
D513;M000;;;0
D513;M001;Palplanche;OUI;500
D513;M002;Palplanche;OUI;500
D513;M003;Palplanche;OUI;500
D513;M004;Palplanche;OUI;500
D513;M005;Palplanche;OUI;500
D513;M006;Palplanche;OUI;500
D513;M007;Palplanche;OUI;500
D513;M008;Palplanche;OUI;500
D513;M009;Palplanche;OUI;500
D513;M010;Palplanche;OUI;500
D513;M011;Palplanche;OUI;500
D513;M013;Palplanche;;100
D513;M101;;;24
D513;M102;;;25
D513;M301;;;200
D513;M302;;;200
D513;M303;;;200
D513;M304;;;200
D513;M305;;;200
D513;M800;;;200
D517;M000;;;0
D517;M001;Palplanche;OUI;250
D517;M002;Palplanche;OUI;250
D517;M101;;;28
D517;M102;;;15
D517;M105;;;15
D517;M401;;;1500
D517;M701;;;270
D517;M702;;;268
D517;M703;;;175
D517;M704;;;30
D517;M801;;;400
D520;M000;;;0
D520;M301;;;100
D520;M302;;;100
D520;M303;;;100
D520;M304;;;100
D520;M305;;;250
D520;M701;;;600
D520;M702;;;800
D520;M703;;;800
D520;M801;;;500
D601;C07;Cellule_palplanche;;800
D601;C08;Cellule_palplanche;;800
D601;C09;Cellule_palplanche;;800
D601;C10;Cellule_palplanche;;800
D601;C11;Cellule_palplanche;;800
D601;C12;Cellule_palplanche;;800
D601;C13;Cellule_palplanche;;800
D601;C14;Cellule_palplanche;;800
D601;M000;;;0
D601;M001;Palplanche;OUI;350
D601;M002;Palplanche;OUI;350
D601;M003;Palplanche;OUI;400
D601;M004;Palplanche;OUI;400
D601;M005;Palplanche;OUI;1200
D601;M006;Palplanche;OUI;1200
D601;M101;;;50
D601;M102;;;50
D601;M115;;;50
D601;M116;;;50
D601;M117;;;50
D601;M118;;;50
D601;M801;;;500
D602;M001;Type_privé;OUI;2600
D602;M002;Type_privé;OUI;2600
D602;M011;Palplanche;OUI;400
D602;M012;Palplanche;OUI;400
D602;M013;Palplanche;OUI;400
D602;M014;Palplanche;OUI;400
D602;M015;Palplanche;OUI;600
D602;M016;Palplanche;OUI;600
D602;M017;Palplanche;OUI;600
D602;M018;Palplanche;OUI;600
D602;M019;Palplanche;OUI;600
D602;M020;Palplanche;OUI;600
D602;M101;;OUI;30
D602;M102;;OUI;30
D602;M302;;;80
D602;M303;;;80
D602;M304;;;60
D602;M305;;;60
D602;M306;;;100
D602;M307;;;100
D602;M309;;;60
D602;M701;;;200
D602;M702;;;150
D602;M801;;;100
D602;M802;;;100
D602;M803;;;100
D604;M000;;;0
D604;M003;Béton;OUI;2500
D604;M004;Béton;OUI;2500
D604;M005;Béton;OUI;2500
D604;M006;Béton;OUI;2500
D604;M007;Béton;OUI;2500
D604;M008;Béton;OUI;2500
D604;M009;Béton;OUI;2500
D604;M011;Béton;OUI;5000
D604;M012;Béton;OUI;5000
D604;M013;Béton;OUI;5000
D604;M014;Béton;OUI;5000
D604;M410;;OUI;5000
D604;M061;Palplanche;OUI;700
D604;M062;Palplanche;OUI;700
D604;M063;Palplanche;OUI;700
D604;M064;Palplanche;OUI;700
D604;M065;Palplanche;OUI;700
D604;M066;Palplanche;OUI;700
D604;M067;Palplanche;OUI;700
D604;M068;Palplanche;OUI;700
D604;M069;Palplanche;OUI;700
D604;M070;Palplanche;OUI;700
D604;M071;Palplanche;OUI;700
D604;M072;Palplanche;OUI;700
D604;M101;;;100
D604;M102;;;100
D604;M103;;;60
D604;M104;;;300
;;;;
D604;M460;;OUI;2500
D604;M501;Béton;OUI;1200
D604;M502;Béton;OUI;1200
D604;M558;;;0
D604;M559;;;0
D604;M701;_;;5000
D604;M801;;;800
D606;M000;;;0
D606;M001;Type_privé;OUI;500
D606;M002;Type_privé;OUI;500
D606;M003;Type_privé;OUI;500
D606;M004;Type_privé;OUI;500
D606;M005;Type_privé;OUI;1500
D606;M006;Type_privé;OUI;1500
D606;M010;Palplanche;OUI;75
D606;M011;Type_privé;OUI;2500
D606;M012;Type_privé;OUI;2500
D606;M101;;;200
D606;M102;;;200
D606;M103;;;50
D606;M104;;;50
D606;M110;;;25
D606;M301;;;60
D606;M302;;;60
D606;M303;;;60
D606;M306;;;60
D606;M307;;;60
D606;M308;;;60
D606;M309;;;80
D606;M310;;;80
D606;M801;;;300
D611;M000;;;0
D611;M001;Palplanche;OUI;300
D611;M002;Palplanche;OUI;300
D611;M003;Palplanche;OUI;800
D611;M004;Palplanche;OUI;800
D611;M005;Palplanche;OUI;800
D611;M006;Palplanche;OUI;800
D611;M007;Palplanche;OUI;800
D611;M008;Palplanche;OUI;800
D611;M101;;;30
D611;M102;;;30
D611;M103;;;30
D611;M104;;;30
D611;M301;;;100
D611;M302;;;100
D611;M303;;;100
D611;M306;;;100
D611;M307;;;100
D611;M308;;;100
D611;M409;;;1800
D611;M701;;;500
D611;M702;;;600
D611;M801;;;800
D612;M000;;;0
D612;M001;Palplanche;;110
D612;M002;Palplanche;;110
D612;M003;Type_privé;OUI;1600
D612;M004;Type_privé;OUI;1600
D612;M101;;;70
D612;M102;;;70
D612;M103;;;70
D612;M104;;;70
D612;M301;;;50
D612;M302;;;50
D612;M304;;;50
D612;M305;;;50
D612;M701;;;800
D615;M000;;;0
D615;M001;Palplanche;;90
D615;M002;Palplanche;;180
D615;M101;;;60
D615;M102;;;60
D615;M401;;;250
D615;M701;;;450
D615;M702;;;250
D616;M000;;;0
D616;M001;Type_privé;OUI;5000
D616;M101;;;100
D616;M102;;;100
D616;M103;;;100
D616;M104;;;100
D616;M105;;;100
D616;M106;;;100
D616;M701;;;500
D616;M702;;;100
D624;M000;;;0
D624;M701;;;200
D624;M702;;;80
D624;M703;;;80
D624;M704;;;80
D703;C01;Cellule_Beton_Fond_conique;;300
D703;C02;Cellule_Beton_Fond_conique;;300
D703;C03;Cellule_Beton_Fond_conique;;300
D703;C04;Cellule_Beton_Fond_conique;;300
D703;C05;Cellule_Beton_Fond_conique;;300
D703;C06;Cellule_Beton_Fond_conique;;90
D703;C07;Cellule_Beton_Fond_conique;;90
D703;C08;Cellule_Beton_Fond_conique;;90
D703;C09;Cellule_Beton_Fond_conique;;410
D703;C10;Cellule_palplanche;;410
D703;C11;Cellule_palplanche;;410
D703;C12;Cellule_palplanche;;300
D703;C13;Cellule_palplanche;;410
D706;M000;;;0
D706;M701;;;400
D710;M000;;;0
D710;M001;Type_privé;OUI;2100
D710;M002;Type_privé;OUI;2100
D710;M003;Type_privé;OUI;2100
D710;M004;Type_privé;OUI;500
D710;M005;Type_privé;OUI;500
D710;M006;Type_privé;OUI;500
D710;M007;Type_privé;OUI;500
D710;M101;;;40
D710;M102;;;40
D710;M104;;;0
D710;M105;;;0
D710;M301;;;80
D710;M302;;;80
D710;M303;;;80
D710;M304;;;0
D742;M000;;;0
D742;M301;;;50
D742;M302;;;25
D742;M303;;;25
D742;M304;;;0
D108;M000;;;0
D108;M101;;;50
D108;M102;;;50
D108;M103;;;50
D108;M104;;;50
D108;M701;;;500
D109;M000;;;0
D109;M001;Palplanche;;150
D109;M002;Palplanche;;150
D109;M101;;;100
D109;M102;;;100
D109;M103;;;70
D109;M104;;;20
D200;M001;Béton;OUI;600
D200;M002;Béton;OUI;600
D200;M003;Béton;OUI;600
D200;M004;Béton;OUI;600
D200;M005;Béton;OUI;350
D200;M006;Béton;OUI;350
D200;M007;Béton;OUI;350
D200;M008;Béton;OUI;350
D200;M009;Béton;OUI;4000
D200;M010;Béton;OUI;4000
D200;M011;Béton;OUI;4000
D200;M101;;;150
D200;M102;;;150
D200;M103;;;150
D200;M104;;;150
D200;M410;;OUI;10000
D200;M425;;OUI;24000
D201;M000;;;0
D201;M001;Palplanche;OUI;600
D201;M002;Palplanche;OUI;300
D201;M003;Palplanche;OUI;300
D201;M004;Palplanche;OUI;600
D201;M005;Palplanche;OUI;600
D201;M006;Palplanche;OUI;600
D201;M007;Palplanche;OUI;600
D201;M008;Palplanche;OUI;600
D201;M009;Palplanche;OUI;600
D201;M010;Palplanche;OUI;600
D201;M011;Palplanche;OUI;600
D201;M012;Palplanche;OUI;600
D201;M013;Palplanche;OUI;600
D201;M021;Type_privé;OUI;180
D201;M022;Type_privé;OUI;180
D201;M023;Type_privé;OUI;180
D201;M101;;;60
D201;M102;;;60
D201;M301;;;90
D201;M302;;;90
D201;M303;;;90
D201;M304;;;90
D201;M305;;;90
D201;M306;;;90
D201;M401;;;500
D204;M000;;;0
D204;M001;Palplanche;OUI;250
D204;M002;Palplanche;OUI;250
D204;M003;Palplanche;OUI;500
D204;M004;Palplanche;OUI;500
D204;M101;;;25
D204;M102;;;25
D204;M103;;;100
D204;M104;;;100
D204;M105;;;100
D204;M301;;OUI;120
D204;M302;;OUI;120
D204;M303;;OUI;120
D204;M304;;OUI;120
D204;M305;;OUI;50
D204;M306;;OUI;50
D204;M307;;OUI;150
D204;M701;;;2000
D213;M000;;;0
D213;M101;;;100
D213;M102;;;100
D213;M103;;;100
D213;M104;;;100
D213;M701;;;2000
D218;M401;;OUI;1000
D218;M402;;OUI;250
D220;M000;;;0
D220;M001;Type_privé;OUI;800
D220;M002;Type_privé;OUI;800
D220;M003;Type_privé;OUI;800
D220;M004;Type_privé;OUI;800
D220;M005;Palplanche;OUI;1000
D220;M006;Palplanche;OUI;1000
D220;M007;Palplanche;OUI;1000
D220;M008;Palplanche;OUI;1000
D220;M009;Palplanche;OUI;150
D220;M101;;OUI;90
D220;M102;;;90
D220;M103;;;90
D220;M104;;;90
D220;M304;;;60
D220;M801;;;500
D226;M000;;;0
D226;M001;Palplanche;OUI;800
D226;M002;Palplanche;OUI;800
D226;M003;Palplanche;OUI;800
D226;M004;Palplanche;OUI;800
D226;M005;Palplanche;OUI;500
D226;M006;Palplanche;OUI;500
D226;M007;Palplanche;OUI;500
D226;M008;Palplanche;OUI;500
D226;M009;Palplanche;OUI;800
D226;M010;Palplanche;OUI;600
D226;M011;Palplanche;OUI;800
D226;M101;;;70
D226;M102;;;70
D226;M103;;;150
D226;M104;;;30
D445;M000;;;0
D445;M101;;;100
D445;M102;;;100
D445;M103;;;65
D445;M104;;;65
D445;M105;;;50
D445;M106;;;25
D445;M107;;;10
D445;M301;;;150
D445;M302;;;150
D445;M303;;;150
D445;M304;;;150
D445;M305;;;120
D445;M306;;;120
D445;M307;;;120
D445;M401;;;2500
D445;M402;;;300
D705;M101;;OUI;30
D705;M102;;OUI;30
D707;M001;Palplanche;OUI;200
D707;M002;Palplanche;OUI;200
D707;M003;Palplanche;OUI;300
D707;M004;Palplanche;OUI;300
D707;M005;Palplanche;OUI;300
D707;M006;Palplanche;OUI;300
D707;M007;Palplanche;OUI;300
D707;M008;Palplanche;OUI;300
D707;M009;Palplanche;OUI;300
D707;M010;Palplanche;OUI;300
D707;M011;Palplanche;OUI;300
D707;M012;Palplanche;OUI;300
D707;M013;Palplanche;OUI;300
D707;M014;Palplanche;OUI;300
D707;M015;Palplanche;OUI;300
D707;M016;Palplanche;OUI;300
D707;M017;Palplanche;OUI;300
D707;M018;Palplanche;OUI;300
D707;M019;Palplanche;OUI;300
D707;M020;Palplanche;OUI;300
D707;M021;;OUI;1500
D707;M022;;OUI;1500
D707;M101;;OUI;30
D707;M102;;OUI;30
D707;M103;;OUI;30
D707;M301;;OUI;600
D707;M302;;OUI;200
D608;M000;;;0
D608;M001;Type_privé;OUI;3000
D608;M002;Type_privé;OUI;3000
D608;M003;Type_privé;OUI;3000
D608;M004;Type_privé;OUI;1800
D608;M005;Type_privé;OUI;500
D608;M006;Type_privé;OUI;500
D608;M007;Type_privé;OUI;500
D608;M008;;;250
D608;M009;;;250
D608;M101;Type_privé;;50
D608;M102;Type_privé;;50
D608;M103;Type_privé;;30
D608;M104;Type_privé;;30
D608;M301;Béton;;0
D608;M302;Béton;;0
D608;M303;Béton;;0
D608;M304;Béton;;0
D608;M305;Béton;;0
D608;M306;Béton;;0
D608;M307;Béton;;0
D608;M701;;;1000
D608;M702;;;300
D621;M000;;;0
D621;M001;;OUI;2500
D621;M002;;OUI;2500
D621;M003;;OUI;1100
D621;M101;Type_privé;;50
D621;M102;Type_privé;;50
D621;M301;;;100
D621;M302;;;100
D621;M303;;;100
D621;M304;;;100
D621;M701;;;400
D621;M702;;;250
D627;M000;;;0
D627;M001;Type_privé;OUI;1000
D627;M002;Type_privé;OUI;1000
D627;M003;Type_privé;OUI;1000
D627;M004;Type_privé;OUI;1000
D627;M005;Type_privé;OUI;1200
D627;M101;;;50
D627;M701;Béton;;500
D628;M000;;;0
D628;M001;;OUI;500
D628;M002;;OUI;500
D628;M003;;OUI;500
D628;M004;;OUI;500
D628;M006;;OUI;500
D628;M007;;OUI;500
D628;M008;Type_privé;OUI;500
D628;M009;Type_privé;OUI;500
D628;M010;Type_privé;OUI;650
D628;M011;Type_privé;OUI;650
D628;M021;Type_privé;OUI;2000
D628;M022;Type_privé;OUI;2000
D628;M101;Type_privé;;25
D628;M102;Type_privé;;25
D628;M103;Type_privé;;50
D628;M401;Béton;OUI;2000
D628;M402;Béton;OUI;5000
D629;M000;;;0
D629;M001;;OUI;1700
D629;M002;;OUI;1350
D629;M003;;OUI;1350
D629;M004;;OUI;2500
D629;M101;;;50
D629;M102;;;50
D629;M401;;OUI;150
D629;M402;;OUI;150
D629;M403;;OUI;150
D629;M404;;OUI;150
D638;M000;;;0
D638;M021;Béton;OUI;500
D638;M022;Béton;OUI;400
D638;M023;Béton;OUI;1200
D638;M024;Béton;OUI;340
D638;M025;Béton;OUI;250
D638;M026;Béton;OUI;1200
D638;M027;Béton;OUI;1300
D638;M028;Béton;OUI;1300
D638;M029;Béton;OUI;1300
D638;M030;Béton;OUI;1300
D638;M031;Béton;OUI;1300
D638;M032;Béton;OUI;1300
D638;M033;Béton;OUI;1300
D638;M034;Béton;OUI;1300
D638;M035;Béton;OUI;1300
D638;M036;Béton;OUI;1300
D638;M051;Palplanche;OUI;450
D638;M052;Palplanche;OUI;450
D638;M053;Palplanche;OUI;450
D638;M054;Palplanche;OUI;450
D638;M055;Palplanche;OUI;450
D638;M056;Palplanche;OUI;450
D638;M057;Palplanche;OUI;450
D638;M058;Palplanche;OUI;450
D638;M061;Palplanche;OUI;200
D638;M062;Palplanche;OUI;200
D638;M063;Palplanche;OUI;200
D638;M064;Palplanche;OUI;200
D638;M101;;;30
D638;M102;;;30
D638;M140;;;50
D638;M141;;;905
D638;M143;;;90
D638;M144;;;100
D638;M145;;;340
D638;M146;;;340
D638;M147;;;90
D638;M148;;;90
D638;M149;;;340
D638;M150;;;340
D638;M301;;;100
D638;M302;;;100
D638;M303;;;100
D638;M304;;;100
D638;M305;;;100
D638;M306;;;150
D638;M307;;;150
D638;M308;;;150
D638;M309;;;150
D638;M310;;;150
D638;M401;;OUI;2000
D638;M402;;OUI;500
D638;M403;;OUI;400
D639;M001;Palplanche;OUI;500
D639;M002;Palplanche;OUI;500
D639;M003;Palplanche;OUI;500
D639;M004;Palplanche;OUI;500
D639;M005;Palplanche;OUI;500
D639;M006;Palplanche;OUI;500
D639;M007;Palplanche;OUI;500
D639;M008;Palplanche;OUI;500
D639;M009;Palplanche;OUI;500
D639;M010;Palplanche;OUI;500
D639;M011;Palplanche;OUI;500
D639;M012;Palplanche;OUI;500
D639;M013;Palplanche;OUI;750
D639;M014;Palplanche;OUI;750
D639;M015;Palplanche;OUI;3000
D639;M016;Palplanche;OUI;3000
D639;M017;;OUI;8500
D639;M018;;OUI;4500
D639;M021;Palplanche;OUI;300
D639;M022;Palplanche;OUI;300
D639;M023;Palplanche;OUI;300
D639;M101;;OUI;25
D639;M102;;OUI;25
D639;M103;;OUI;0
D639;M104;;OUI;0
D639;M301;;OUI;100
D639;M302;;OUI;100
D639;M303;;OUI;50
D639;M304;;OUI;50
D639;M305;;OUI;50
D639;M306;;OUI;50
D639;M309;;OUI;50
D639;M310;;OUI;50
D639;M321;;OUI;50
D639;M322;;OUI;50
D639;M323;;OUI;50
D639;M324;;OUI;50
D639;M325;;OUI;50
D639;M326;;OUI;50
D639;M327;;OUI;50
D639;M328;;OUI;50
D639;M401;;OUI;300
D639;M402;;OUI;300
D639;M431;;OUI;300
D639;M521;;OUI;30
D639;M522;;OUI;30
D639;M523;;;30
D639;M524;;;30
D639;M525;;;30
D639;M526;;;30
D639;M527;;;30
D639;M528;;;30
D639;M531;;;50
D639;M532;;;150
D639;M533;;;150
D639;M534;;;100
D639;M535;;;30
D639;M536;;;30
D676;M000;;;0
D676;M001;Palplanche;OUI;450
D676;M002;Palplanche;OUI;450
D676;M003;Palplanche;OUI;450
D676;M004;Type_privé;OUI;2600
D676;M101;Palplanche;;50
D676;M102;Palplanche;;50
D676;M103;Palplanche;;50
D676;M104;Palplanche;;50
D676;M301;Béton;;30
D676;M302;Béton;;30
D676;M303;Béton;;30
D676;M304;Béton;;30
D676;M305;Béton;;30
D676;M306;Béton;;30
D677;M000;;;0
D677;M301;Béton;;150
D677;M302;Béton;;150
D677;M303;Béton;;150
D677;M304;Béton;;150
D677;M305;Béton;;150
D677;M306;Béton;;150
D677;M307;Béton;;150
D677;M308;Béton;;150
D677;M401;;;600
D678;M000;;;0
D678;M301;;;150
D678;M302;;;150
D678;M303;;;150
D678;M304;;;150
D678;M305;;;150
D104;M000;;;0
D104;M101;;;100
D104;M102;;;100
D104;M103;;;100
D104;M104;;;100
D104;M701;;;500
D104;M702;;;500
D104;M703;;;30
D104;M704;;;30
D104;M705;;;50
D104;M706;;;50
D115;M000;;;0
D115;M101;;;40
D115;M102;;;20
D115;M401;;;200
D115;M402;;;600
D115;M701;;;600
D116;C01;Cellule_Metal_Fond_conique;;300
D116;C02;Cellule_Metal_Fond_conique;;300
D116;C03;Cellule_Metal_Fond_conique;;750
D116;C04;Cellule_Metal_Fond_conique;;750
D116;C05;Cellule_Metal_Fond_conique;;750
D116;C06;Cellule_Metal_Fond_conique;;750
D116;C07;Cellule_Metal_Fond_conique;;750
D116;C08;Cellule_Metal_Fond_conique;;750
D116;C09;Cellule_Metal_Fond_conique;;750
D143;M000;;;0
D143;M003;Béton;OUI;1000
D143;M004;Béton;OUI;1000
D143;M005;Béton;OUI;1000
D143;M006;Béton;OUI;1000
D143;M007;Type_privé;OUI;5900
D143;M008;Type_privé;OUI;5900
D143;M009;Type_privé;OUI;5900
D143;M010;Type_privé;OUI;5900
D143;M011;Type_privé;OUI;5900
D143;M021;Béton;OUI;17000
D143;M022;Béton;OUI;17000
D143;M023;Béton;OUI;17000
D143;M101;;OUI;500
D143;M102;;OUI;500
D143;M103;Palplanche;OUI;200
D143;M111;;OUI;150
D143;M112;;OUI;150
D143;M113;;OUI;150
D143;M114;;OUI;150
D143;M201;Béton;OUI;50
D143;M202;Béton;OUI;75
D143;M203;Béton;OUI;150
D157;M000;;;0
D157;M001;Palplanche;OUI;100
D157;M002;Palplanche;OUI;100
D157;M003;Palplanche;OUI;100
D157;M004;Palplanche;OUI;100
D157;M005;Palplanche;OUI;200
D157;M006;Palplanche;OUI;200
D157;M007;Palplanche;OUI;200
D157;M008;Palplanche;OUI;200
D157;M009;Type_privé;OUI;5000
D157;M010;Type_privé;OUI;5000
D157;M101;;;40
D157;M102;;;40
D157;M103;;;200
D157;M701;;;1000
D209;M000;;;0
D209;M001;Palplanche;;100
D209;M101;;;30
D209;M102;;;30
D209;M103;;;30
D209;M104;;;30
D209;M701;;;500
D216;M000;;;0
D216;M001;Type_privé;OUI;60
D216;M002;Type_privé;OUI;60
D216;M003;Type_privé;OUI;60
D216;M004;Type_privé;OUI;60
D216;M005;Palplanche;OUI;350
D216;M006;Palplanche;OUI;350
D216;M007;Palplanche;OUI;350
D216;M008;Palplanche;OUI;350
D216;M009;Palplanche;OUI;350
D216;M010;Palplanche;OUI;350
D216;M011;Palplanche;OUI;350
D216;M012;Palplanche;OUI;350
D216;M013;Palplanche;OUI;350
D216;M014;Palplanche;OUI;350
D216;M015;Palplanche;OUI;350
D216;M016;Palplanche;OUI;350
D216;M017;Palplanche;OUI;550
D216;M018;Palplanche;OUI;550
D216;M019;Palplanche;OUI;550
D216;M020;Palplanche;OUI;550
D216;M021;Palplanche;OUI;550
D216;M022;Palplanche;OUI;550
D216;M023;Palplanche;OUI;550
D216;M024;Palplanche;OUI;550
D216;M101;;;25
D216;M102;;;25
D216;M103;;;40
D216;M104;;;40
D216;M105;;;25
D216;M106;;;60
D216;M107;;;60
D216;M301;;;25
D216;M302;;;25
D216;M303;;;25
D216;M304;;;100
D216;M305;;;100
